fallback_id,subsystem,concern,semantic_question,files,current_owner,caller_sites,trigger,fallback_kind,guideline_violation,why_not_one_path,proposed_canonical_path,disposition,follow_on_package,status
FB-AD-001,admin/control-plane,authoritative admin snapshot degradation,"Should admin diagnostics fail closed when authoritative control snapshot repair or publication re-observation fails?","src/admin/admin-control-snapshot.js; src/admin/admin-service-discovery.js","AdminControlSnapshot","Admin control snapshot and discovery endpoints","Authoritative repair read fails or only published fallback evidence is immediately available","stale_read_repair_path",no,"Admin diagnostics are observation-only and intentionally degrade instead of blocking runtime progression.","Keep one admin snapshot owner and continue routing authoritative repair policy through it.","keep","package: authoritative control-plane ingress and admin snapshot rationalization","classified"
FB-BS-001,bootstrap,runtime surface bridge,"What cache surface does bootstrap use once startup wiring begins to hand off to runtime owners?","src/bootstrap/bootstrap-api.js","BootstrapAPI","Bootstrap control-plane read helpers","Bootstrap API outlives explicit cache injection and reaches for runtime-owner or startup-adapter surfaces","legacy_compatibility_bridge",yes,"Bootstrap still tolerates several runtime-surface providers for the same cache concern.","Inject one startup runtime-surface owner everywhere and remove the runtimeOwner/startupAdapter bridge.","remove","package: bootstrap runtime-surface bridge removal","classified"
FB-BS-002,bootstrap/readiness,local recovery snapshot reconstruction,"How does bootstrap readiness obtain the publication/recovery snapshot it needs for join projection?","src/bootstrap/owners/bootstrap-readiness-owner.js; src/control-plane/recovery-protocol-snapshot.js","ControlPlaneReadinessService helper surface","BootstrapReadinessOwner","Readiness service helper missing or throws so bootstrap rebuilds the snapshot locally","legacy_compatibility_bridge",yes,"BootstrapReadinessOwner reconstructs owner truth when the shared helper contract is not consistently available.","Expose one readiness-owned helper/snapshot surface and remove the local reconstruction fallback.","convert","package: bootstrap readiness helper contract cutover","classified"
FB-BS-003,bootstrap/readiness,probe timeout sync fallback,"What readiness answer should HTTP probes return when async diagnostics stall under pressure?","src/bootstrap/owners/bootstrap-readiness-owner.js","BootstrapReadinessOwner","HTTP probe handlers","Async readiness diagnostics time out before the probe budget expires","irreducible_sync_async_boundary",no,"The async probe path may stall while the synchronous readiness snapshot remains immediately available; probe handlers cannot block indefinitely.","Retain one owner-controlled async-with-timeout surface and continue routing the fallback inside BootstrapReadinessOwner.","keep","package: bootstrap runtime-surface bridge removal","classified"
FB-BS-004,bootstrap/topology,active-node snapshot bridge,"Where does join readiness obtain active node IDs when the local cache is absent or empty during bootstrap?","src/bootstrap/join-readiness-evaluator.js; src/bootstrap/owners/bootstrap-topology-snapshot-owner.js","BootstrapTopologySnapshotOwner","JoinReadinessEvaluator","System-table cache is absent or returns no ACTIVE nodes during bootstrap convergence","legacy_compatibility_bridge",yes,"JoinReadinessEvaluator still reaches for a secondary bootstrap topology snapshot instead of one canonical active-node owner surface.","Promote one bootstrap topology snapshot owner surface and remove evaluator-local fallback selection.","convert","package: bootstrap topology snapshot owner cutover","classified"
FB-BS-005,bootstrap/transport,seed websocket to peer-mesh fallback,"How should join bootstrap proceed when the seed websocket endpoint cannot be reached after retry exhaustion?","src/bootstrap/phases/connect-websocket-phase.js","ConnectWebSocketPhase","Join connect-websocket phase","Seed websocket connection fails after bounded retries","degrade_mode_transport_or_discovery",no,"Bootstrap still needs a bounded degraded transport mode to continue discovery when the preferred seed websocket lane is unavailable.","Retain the phase-owned degraded transport fallback but keep it explicit and bounded to bootstrap.","keep","package: bootstrap join ingress and peer-mesh fallback reduction","classified"
FB-BS-006,bootstrap/join,local and hint-based node-state update targeting,"How does a joining node publish READY-state metadata when remote ingress is not yet reachable?","src/bootstrap/node-joining-service.js","NodeJoiningService","Bootstrap join and heartbeat publication paths","Remote ingress is unreachable so join logic retains local or hinted targets","degrade_mode_transport_or_discovery",unclear,"Join/startup still mixes canonical remote ingress targeting with local and hinted fallback targeting for the same publication concern.","Collapse READY-state publication targeting onto one metadata ingress owner once startup handoff is complete.","split_later","package: bootstrap join ingress and peer-mesh fallback reduction","classified"
FB-BS-007,bootstrap/message-group,bootstrap message-group selection fallback,"What message-group cohort should bootstrap use when the preferred group or readiness surface is missing?","src/bootstrap/owners/bootstrap-join-admission-owner.js; src/bootstrap/shared/message-group-selection.js","BootstrapJoinAdmissionOwner","Bootstrap join admission and message-group selection helpers","Preferred message group or readiness provider is unavailable during bootstrap admission","legacy_compatibility_bridge",unclear,"Bootstrap still keeps a local group-selection fallback instead of one canonical join-admission selection surface.","Move message-group fallback selection behind one join-admission owner contract.","split_later","package: bootstrap message-group selection contract cleanup","classified"
FB-CDC-001,cdc/control-plane,authoritative system-table read ingress ladder,"How does the system obtain authoritative control-plane rows when local cache visibility may lag?","src/cdc/cdc-integration-service.js; src/control-plane/control-plane-system-table-gateway.js; src/control-plane/authoritative-control-plane-view.js","CdcIntegrationService authoritative read owner","ControlPlaneSystemTableGateway; AuthoritativeControlPlaneView; authoritative control-plane readers","Local authoritative rows are stale or unavailable and the owner RPC lane must be consulted","stale_read_repair_path",no,"This is already one owner path; the multiple read sources are hidden behind the authoritative read owner rather than reproduced by callers.","Keep one authoritative read ingress and continue collapsing direct caller policy into it while shrinking its option surface.","keep","package: authoritative control-plane ingress and admin snapshot rationalization","classified"
FB-CDC-002,cdc/control-plane,authoritative cache visibility repair lane,"How are cache-visibility gaps repaired when a control-plane row is authoritative in SQL but not yet visible in cache?","src/cdc/cdc-integration-service.js; src/admin/admin-control-snapshot.js; src/query/sql-query-engine.js","CdcIntegrationService cache repair owner","Admin diagnostics; control-plane waiters; query/bootstrap waiters","Cache visibility wait or repair lane must reconcile one row authoritatively before proceeding","stale_read_repair_path",no,"The repair lane is an explicit owner-controlled recovery path rather than a caller-local second steady-state path.","Retain one owner-controlled repair lane and keep diagnostics/retry signals centralized in CdcIntegrationService.","keep","package: authoritative control-plane ingress and admin snapshot rationalization","classified"
FB-CP-001,control-plane/rebalancer,priority recovery planning snapshot,"What is the best current planning cohort for one priority-recovery operation under load?","src/rebalancer/operation-workflow-owner.js; src/control-plane/control-plane-readiness-service.js","ControlPlaneReadinessService planning snapshot owner","OperationWorkflowOwner","Async planning refresh stalls or times out","duplicated_caller_policy",yes,"Sync and async surfaces are a real boundary today but the timeout policy and sync fallback selection should not be owned by the caller.","One readiness-service best-effort planning snapshot API that owns async refresh timeout and sync fallback selection.","convert","package: control-plane planning snapshot fallback collapse","classified"
FB-CP-002,control-plane/rebalancer,membership planning epoch,"What is the current published planning epoch for topology mutation admission?","src/rebalancer/rebalance-coordinator.js; src/control-plane/control-plane-readiness-service.js","ControlPlaneReadinessService planning snapshot owner","RebalanceCoordinator","Planning snapshot unavailable in synchronous admission path","duplicated_caller_policy",yes,"The coordinator rebuilds planning state from diagnostics when the planning snapshot is unavailable and that fallback policy belongs with the readiness owner.","One readiness-service synchronous epoch/plan surface with owned degradation policy.","convert","package: control-plane planning snapshot fallback collapse","classified"
FB-CP-003,control-plane/dispatch,membership publication fetch and refresh,"What publication row should dispatch use when acknowledging membership for one node?","src/control-plane/replica-dispatch-service.js; src/control-plane/membership-publication-coordinator.js","MembershipPublicationCoordinator","ReplicaDispatchService","Sync publication row missing target node or freshness under dispatch pressure","duplicated_caller_policy",yes,"Dispatch owns its own sync fetch async refresh and retry choice which reconstructs publication freshness policy outside the publication owner.","One membership-publication service API that returns the correct acknowledgment candidate row directly.","convert","package: membership publication fetch and ack fallback collapse","classified"
FB-CP-004,control-plane/readiness,stale published priority summary refresh,"Can a published membership row be repaired before it is used for planning and diagnostics?","src/control-plane/control-plane-readiness-service.js; src/control-plane/membership-publication-coordinator.js","MembershipPublicationCoordinator","ControlPlaneReadinessService async diagnostics path","Published row is present but spread-pending summary is stale","stale_read_repair_path",no,"The async path can safely enter the publication owner lane to repair stale summary state while the sync path cannot.","Retain the split for now and keep all degradation policy behind one readiness-service surface.","keep","package: control-plane planning snapshot fallback collapse","classified"
FB-CP-005,control-plane,authoritative control-plane read ingress options,"What canonical read ingress should authoritative control-plane consumers use when local read freshness varies?","src/control-plane/control-plane-system-table-gateway.js; src/control-plane/authoritative-control-plane-view.js; src/cdc/cdc-integration-service.js; src/query/table-creation-service.js","ControlPlaneSystemTableGateway via CdcIntegrationService","AuthoritativeControlPlaneView; table creation and control-plane callers","Local read misses or transport/readiness pressure requires a different owner-owned read lane","stale_read_repair_path",no,"The owner ingress still needs several internal lanes but the choice already lives behind the control-plane gateway rather than in unrelated callers.","Keep one authoritative ingress and reduce the exposed option surface instead of adding new caller-local fallbacks.","wrap","package: authoritative control-plane ingress and admin snapshot rationalization","classified"
FB-CP-006,control-plane/bootstrap,SQL mutation startup bridge,"How are control-plane mutations executed before CDC-backed mutation helpers are online?","src/control-plane/control-plane-system-table-gateway.js; src/bootstrap/bootstrap-api.js","ControlPlaneSystemTableGateway mutation ingress","BootstrapAPI and startup-phase mutation callers","CDC mutation helper unavailable while startup caller sets skipCacheWait and phaseScope","legacy_compatibility_bridge",yes,"A second mutation path still exists for startup/bootstrap callers which conflicts with one write ingress per plane.","Complete startup handoff to one mutation ingress before bootstrap callers can mutate control-plane rows.","remove","package: control-plane mutation ingress bridge removal","classified"
FB-CP-007,control-plane/recovery,liveness-based recovery projection,"When may recovery spread include a node based on liveness evidence after readiness evidence excludes it?","src/control-plane/active-node-projection.js; src/control-plane/membership-publication-coordinator.js; src/control-plane/recovery-protocol-snapshot.js; src/control-plane/membership-lifecycle-constants.js","ActiveNodeProjection and RecoveryProtocolSnapshot","MembershipPublicationCoordinator and recovery consumers","Readiness projection excludes a node but recovery policy still permits explicit liveness-based inclusion","degrade_mode_transport_or_discovery",no,"The degraded-evidence path is now explicit and single-sourced in the shared recovery protocol snapshot rather than hidden in several callers.","Retain the explicit recovery-protocol owner and revisit when readiness evidence dissemination fully replaces liveness rescue.","keep","package: projected voter-ready topology settling","classified"
FB-CP-008,control-plane/query/bootstrap,owner-row leader identity bridge,"How do readers resolve leader identity before partitions.leader_node_id or message_groups.leader_node_id has converged?","src/cache/leader-readiness-gate.js; src/bootstrap/system-readiness-snapshot.js; src/bootstrap/cache-hydration-gate.js; src/query/query-router.js; src/query/query-executor.js","Partition and message-group owner rows","LeaderReadinessGate; bootstrap readiness snapshot; QueryRouter; QueryExecutor","Owner row leader identity is absent during fresh bootstrap or convergence windows","legacy_compatibility_bridge",unclear,"Several consumers still keep a bounded services.raft_role fallback because owner-row convergence is not yet guaranteed at creation/hydration boundaries.","Guarantee owner-row leader identity before consumers run or expose one bootstrap leader snapshot owner surface.","split_later","package: leader identity owner-row convergence","classified"
FB-MG-001,message-group/bootstrap,bootstrap peer hint address bridge,"How do message-group peers find each other before services-cache location has converged?","src/message-group/message-group-service.js; src/message-group/message-group-forwarding-owner.js; src/bootstrap/node-joining-service.js","MessageGroupService peer-location owner","MessageGroupForwardingOwner; bootstrap/join routing helpers","Services cache lacks peer location so bootstrap hints or service-id-only logic are used","legacy_compatibility_bridge",unclear,"Peer discovery still carries bootstrap hint bridges instead of one fully converged runtime dissemination surface.","Finish runtime dissemination handoff for peer locations and remove bootstrap hint fallback from steady-state routing.","split_later","package: peer location bootstrap-hint bridge cleanup","classified"
FB-PT-001,partition/managed-split,split admission target fallback,"What target cohort may a managed split use when active discovery cannot satisfy quorum directly?","src/partition/managed-split-workflow.js","ManagedSplitWorkflow","Managed split child-provisioning admission","Active discovery yields too few targets and the workflow falls back to source-routable nodes","degrade_mode_transport_or_discovery",unclear,"The workflow owns the fallback today but still mixes discovery and source-routable evidence for the same cohort decision.","Move split admission onto one explicit topology-admission snapshot owner that ranks evidence once.","split_later","package: managed split admission cohort unification","classified"
FB-PT-002,partition/runtime,no-raft leader election bridge,"How does a single-replica partition become leader when the embedded raft implementation is absent?","src/partition/partition-service.js","PartitionService / raft provider contract","Single-replica partition bootstrap","Embedded raft implementation is absent so PartitionService mutates leader state locally","legacy_compatibility_bridge",yes,"The partition service bypasses the owner dependency when raft is missing which conflicts with the injected-owner rule.","Require an explicit raft owner or test double and remove the local leader-election fallback.","remove","package: partition-service owner-dependency fallback removal","classified"
FB-QR-001,query/provisioning,degraded provisioning target-node fallback,"Which nodes may query-driven provisioning target when strict readiness candidates are insufficient?","src/query/sql-query-engine.js; src/rebalancer/unified-rebalancer.js","SqlQueryEngine provisioning planner","Table provisioning and query-owned partition creation","Strict readiness candidates are insufficient so service-backed degraded nodes are admitted","degrade_mode_transport_or_discovery",unclear,"Provisioning still mixes strict readiness with weaker service-backed evidence to preserve low-node/bootstrap progress.","Move provisioning cohort selection onto one explicit topology admission owner with a single evidence contract.","split_later","package: query provisioning cohort unification","classified"
FB-RB-001,rebalancer/read-model,incomplete operation read-mode policy leak,"How should the rebalancer resolve incomplete operations when cache may be empty or router pressure is high?","src/rebalancer/replica-operation-repository.js; src/rebalancer/rebalance-coordinator.js","ReplicaOperationRepository","RebalanceCoordinator; other repository callers","Cache returns no incomplete operations and callers choose whether SQL fallback is skipped","duplicated_caller_policy",yes,"Callers still influence cache-empty versus SQL fallback behavior for the same semantic read concern.","Expose one repository-owned best-effort incomplete-operation read API and remove caller tuning of fallback policy.","convert","package: rebalancer read-model fallback policy collapse","classified"
