path,match_count,assessment,register_ids,notes
src/admin/admin-control-snapshot.js,22,register_boundary,"FB-AD-001; FB-CDC-002","Admin snapshot degrades repair and observes fallback publication."
src/admin/admin-helpers.js,1,helper_or_default_only,,"Version default helper only."
src/admin/admin-runtime-service-view-constants.js,1,degradation_term_only,,"Degraded status constant only."
src/admin/admin-runtime-service-views.js,1,degradation_term_only,,"Degraded status rendering only."
src/admin/admin-service-discovery.js,71,register_boundary,"FB-AD-001","Admin discovery uses authoritative repair and operation degradation summaries."
src/admin/admin-test-run-progress.js,2,helper_or_default_only,,"Progress percent fallback only."
src/admin/admin-test-run-report.js,5,helper_or_default_only,,"Timestamp and summary defaults only."
src/admin/admin-test-run-service.js,10,helper_or_default_only,,"Report and git-hash defaults only."
src/admin/admin-websocket-api.js,10,degradation_term_only,,"Admission and degraded-operation terminology only."
src/admin/standalone-test-run-server.js,4,helper_or_default_only,,"Port parsing fallback only."
src/admin/static/test-run-dashboard.html,7,helper_or_default_only,,"Dashboard UI fallback selection only."
src/bootstrap/bootstrap-api.js,23,register_violation,"FB-BS-001; FB-CP-006","Runtime-surface bridge and startup mutation bridge."
src/bootstrap/bootstrap-service.js,1,doc_or_comment_only,,"Commented no-fallback doctrine only."
src/bootstrap/cache-hydration-gate.js,1,register_bridge,"FB-CP-008","Leader-service bridge flag during hydration."
src/bootstrap/join-readiness-evaluator.js,5,register_violation,"FB-BS-004","Falls back to bootstrap topology snapshot for ACTIVE nodes."
src/bootstrap/join-schema-version-resolver.js,1,helper_or_default_only,,"Schema compare helper fallback only."
src/bootstrap/lifecycle-controller-constants.js,7,degradation_term_only,,"Lifecycle degraded constants only."
src/bootstrap/lifecycle-controller.js,19,degradation_term_only,,"Degraded lifecycle phase handling only."
src/bootstrap/message-group-assignment-constants.js,1,helper_or_default_only,,"Group id fallback constant only."
src/bootstrap/message-group-assignment.js,1,helper_or_default_only,,"Group id suffix fallback only."
src/bootstrap/node-joining-constants.js,2,degradation_term_only,,"CDC readiness degraded log text only."
src/bootstrap/node-joining-service.js,16,register_bridge,"FB-BS-006; FB-MG-001","Join publishing retains local and hint-based fallback targets."
src/bootstrap/owners/bootstrap-join-admission-owner.js,3,register_bridge,"FB-BS-007","Local fallback group selection during bootstrap admission."
src/bootstrap/owners/bootstrap-node-ready-rebalance-owner.js,6,helper_or_default_only,,"Primary-versus-fallback row merge helper only."
src/bootstrap/owners/bootstrap-readiness-owner.js,16,register_violation,"FB-BS-002; FB-BS-003","Local snapshot reconstruction plus probe timeout fallback."
src/bootstrap/owners/bootstrap-topology-snapshot-owner.js,2,register_bridge,"FB-BS-004","Supports bootstrap topology snapshot bridge."
src/bootstrap/owners/move-replica-handoff-owner.js,3,helper_or_default_only,,"Fallback error message helper only."
src/bootstrap/owners/service-registration-visibility-owner.js,1,helper_or_default_only,,"Fallback phase tag only."
src/bootstrap/phases/connect-websocket-phase.js,2,register_degrade_mode,"FB-BS-005","Peer mesh fallback after seed websocket retry exhaustion."
src/bootstrap/phases/query-system-state-phase.js,4,helper_or_default_only,,"Primary-key fallback helper only."
src/bootstrap/shared/local-query-transport-readiness.js,2,helper_or_default_only,,"Numeric default helper only."
src/bootstrap/shared/message-group-selection.js,6,register_bridge,"FB-BS-007","Fallback readiness selection during bootstrap group choice."
src/bootstrap/shared/meta-service-definition-registration.js,2,register_degrade_mode,"FB-TR-002","Fallback host is used for bootstrap endpoint registration."
src/bootstrap/system-partition-classification.js,3,helper_or_default_only,,"System partition id fallback only."
src/bootstrap/system-readiness-snapshot.js,3,register_bridge,"FB-CP-008","Leader-service fallback support."
src/bootstrap/traffic-readiness-utils.js,3,helper_or_default_only,,"Traffic readiness helper defaults only."
src/cache/cache-constants.js,1,helper_or_default_only,,"Primary-key fallback constant only."
src/cache/cdc-table-policy.js,3,degradation_term_only,,"Degraded operation field normalization only."
src/cache/leader-readiness-gate.js,8,register_bridge,"FB-CP-008","Leader-node-id bridge to service rows."
src/cache/system-cache-key-descriptor.js,9,helper_or_default_only,,"Primary-key descriptor fallback helper only."
src/cache/system-cache-proxy.js,1,helper_or_default_only,,"Replica selection fallback inside cache proxy only."
src/cache/system-table-cache.js,2,helper_or_default_only,,"Primary-key and watermark fallback helpers only."
src/cdc/cdc-confirmation-tracker.js,2,helper_or_default_only,,"Primary-key fallback helper only."
src/cdc/cdc-constants.js,1,helper_or_default_only,,"Primary-key fallback constant only."
src/cdc/cdc-integration-service.js,123,register_boundary,"FB-CDC-001; FB-CDC-002; FB-CP-005","Authoritative read and repair owner."
src/cli/USER_GUIDE.md,1,doc_or_comment_only,,"Guide example uses degraded status text only."
src/cli/core/error-handler.js,1,doc_or_comment_only,,"Comment about graceful degradation only."
src/cli/core/remote-cache.js,4,helper_or_default_only,,"CLI cache view helpers and degraded display only."
src/cli/core/table-metadata-computer.js,3,helper_or_default_only,,"Graceful default returns only."
src/cli/core/visual-indicators.js,2,degradation_term_only,,"Visual degraded label only."
src/cli/views/config-view.js,1,helper_or_default_only,,"Regex parse fallback only."
src/cli/views/contexts-view.js,1,helper_or_default_only,,"Regex parse fallback only."
src/cli/views/logical-services-view.js,2,degradation_term_only,,"Logical service degraded display only."
src/cli/views/logs-view.js,6,helper_or_default_only,,"Client-side and sort fallback helpers only."
src/cli/views/message-groups-view.js,2,degradation_term_only,,"Message-group degraded display only."
src/config/dynamic-config-service.js,1,helper_or_default_only,,"Value-type fallback to key metadata only."
